Date,Tournament,Finish Pos. ,1st ,2nd ,3rd ,4th ,5th ,Total Score ,Position thru Rnd. 1 ,Position thru Rnd. 2 ,Position thru Rnd. 3 ,Position thru Rnd. 4 ,Position thru Rnd. 5 ,Low Round ,Low 36 ,Low 54 ,Low 72 ,Low 90 ,High Round ,60s ,65 & Under ,Shots Off Lead - Final Rnd. 
1/29/17,Farmers Insurance Open ,CUT ,76 (+4) ,72 (E) ,0,0,0,148 (+4) ,T133 ,T110 , CUT , CUT ,    ,72,148, , , ,76,0,0,999
12/4/16,(*) Hero World Challenge ,15,73 (+1) ,65 (-7) ,70 (-2) ,76 (+4) ,0,284 (-4) ,17,  T9 ,10,15,    ,65,138,208,284, ,76,1,1,11
8/23/15,Wyndham Championship ,T10 ,64 (-6) ,65 (-5) ,68 (-2) ,70 (E) ,0,267 (-13) ,  T7 ,  T1 ,  T2 , T10 ,    ,64,129,197,267, ,70,3,2,2
8/16/15,PGA Championship ,CUT ,75 (+3) ,73 (+1) ,0,0,0,148 (+4) , T86 , T90 , CUT , CUT ,    ,73,148, , , ,75,0,0,999
8/2/15,Quicken Loans National ,T18 ,68 (-3) ,66 (-5) ,74 (+3) ,68 (-3) ,0,276 (-8) , T27 ,  T5 , T42 , T18 ,    ,66,134,208,276, ,74,3,0,9
7/19/15,The Open Championship ,CUT ,76 (+4) ,75 (+3) ,0,0,0,151 (+7) ,T139 ,T147 , CUT , CUT ,    ,75,151, , , ,76,0,0,999
7/5/15,The Greenbrier Classic ,T32 ,66 (-4) ,69 (-1) ,71 (+1) ,67 (-3) ,0,273 (-7) , T12 , T26 , T47 , T32 ,    ,66,135,206,273, ,71,3,0,7
6/21/15,U.S. Open ,CUT ,80 (+10) ,76 (+6) ,0,0,0,156 (+16) ,T152 ,T150 , CUT , CUT ,    ,76,156, , , ,80,0,0,999
6/7/15,the Memorial Tournament ,71,73 (+1) ,70 (-2) ,85 (+13) ,74 (+2) ,0,302 (+14) , T85 , T64 ,71,71,    ,70,143,228,302, ,85,0,0,27
5/10/15,THE PLAYERS Championship ,T69 ,73 (+1) ,71 (-1) ,75 (+3) ,72 (E) ,0,291 (+3) , T77 , T61 , T68 , T69 ,    ,71,144,219,291, ,75,0,0,13
4/12/15,Masters Tournament ,T17 ,73 (+1) ,69 (-3) ,68 (-4) ,73 (+1) ,0,283 (-5) , T41 , T19 ,  T5 , T17 ,    ,68,142,210,283, ,73,2,0,10
2/8/15,Farmers Insurance Open ,W/D ,0,0,0,0,0,0, W/D , W/D , W/D , W/D ,    , , , , , , ,0,0,999
2/1/15,Waste Management Phoenix ,CUT ,73 (+2) ,82 (+11) ,0,0,0,155 (+13) ,T105 ,T130 , CUT , CUT ,    ,73,155, , , ,82,0,0,999
12/7/14,(*) Hero World Challenge ,T17 ,77 (+5) ,70 (-2) ,69 (-3) ,72 (E) ,0,288 (E) ,18,18,18, T17 ,    ,69,147,216,288, ,77,1,0,20
8/10/14,PGA Championship ,CUT ,74 (+3) ,74 (+3) ,0,0,0,148 (+6) ,T109 ,T117 , CUT , CUT ,    ,74,148, , , ,74,0,0,999
8/3/14,WGC-Bridgestone Invit'l ,W/D ,68 (-2) ,71 (+1) ,72 (+2) ,0,0,211 (+1) ,  T9 , T25 , T36 , W/D ,    ,68,139,211, , ,72,1,0,999
7/20/14,The Open Championship ,69,69 (-3) ,77 (+5) ,73 (+1) ,75 (+3) ,0,294 (+6) , T10 , T56 , T58 ,69,    ,69,146,219,294, ,77,1,0,19
6/29/14,Quicken Loans National ,CUT ,74 (+3) ,75 (+4) ,0,0,0,149 (+7) , T83 ,T103 , CUT , CUT ,    ,74,149, , , ,75,0,0,999
3/9/14,WGC-Cadillac Championship ,T25 ,76 (+4) ,73 (+1) ,66 (-6) ,78 (+6) ,0,293 (+5) , T53 , T25 ,  T4 , T25 ,    ,66,149,215,293, ,78,1,0,3
3/2/14,The Honda Classic ,W/D ,71 (+1) ,69 (-1) ,65 (-5) ,0,0,205 (-5) , T81 , T66 , T17 , W/D ,    ,65,140,205, , ,71,2,1,999
1/26/14,Farmers Insurance Open ,T80 ,72 (E) ,71 (-1) ,79 (+7) ,0,0,222 (+6) , T63 , T50 , T80 ,    ,    ,71,143,222, , ,79,0,0,14
12/8/13,(*) World Challenge ,2,71 (-1) ,62 (-10) ,72 (E) ,70 (-2) ,0,275 (-13) ,5,1,1,  T2 ,    ,62,133,205,275, ,72,1,1,0
10/6/13,(*) Presidents Cup ,1,0,0,0,0,0,0,    ,    ,    ,    ,    , , , , , , ,0,0,999
9/22/13,TOUR Championship ,T22 ,73 (+3) ,71 (+1) ,69 (-1) ,67 (-3) ,0,280 (E) ,29, T26 , T26 , T22 ,    ,67,144,213,280, ,73,2,0,14
9/15/13,BMW Championship ,T11 ,66 (-5) ,72 (+1) ,66 (-5) ,71 (E) ,0,275 (-9) ,  T3 , T13 ,5, T11 ,    ,66,138,204,275, ,72,2,0,4
9/2/13,Deutsche Bank Champ ,T65 ,68 (-3) ,67 (-4) ,72 (+1) ,73 (+2) ,0,280 (-4) , T34 , T20 , T47 , T65 ,    ,67,135,207,280, ,73,2,0,13
8/25/13,The Barclays ,T2 ,67 (-4) ,69 (-2) ,69 (-2) ,69 (-2) ,0,274 (-10) ,  T7 ,  T8 ,  T4 ,  T2 ,    ,67,136,205,274, ,69,4,0,4
8/11/13,PGA Championship ,T40 ,71 (+1) ,70 (E) ,73 (+3) ,70 (E) ,0,284 (+4) , T50 , T38 , T48 , T40 ,    ,70,141,214,284, ,73,0,0,13
